StudNo	StudName	StudGender	StudBirthDay	ClassID
20230505001	董晓燕	男	2004/10/16	20230505
20230505002	刘惠玲	男	2005/10/21	20230505
20230505003	吴涛	女	2005/11/29	20230505
20230505004	赵联锋	女	2005/9/12	20230505
20230505005	王渺	女	2004/10/19	20230505
20230505006	程竹	男	2006/3/22	20230505
20230505007	黄艳强	男	2005/5/16	20230505
20230505008	杨文武	女	2005/11/28	20230505
20230505009	李丹	女	2006/10/3	20230505
20230505010	王顺堂	男	2005/1/30	20230505
20230505011	杨学智	女	2006/3/20	20230505
20230505012	陈千彬	男	2004/9/18	20230505
20230505013	杨文超	女	2005/12/30	20230505
20230505014	袁洪亮	男	2005/1/26	20230505
20230505015	翟勤	女	2005/6/13	20230505
20230505016	王娜娜	女	2005/11/17	20230505
20230505017	陈迪薇	女	2005/12/28	20230505
20230505018	苏文亮	男	2004/9/23	20230505
20230505019	石海玲	女	2005/11/7	20230505
20230505020	黄璐	女	2005/4/10	20230505
20230505021	肖新员	男	2005/3/21	20230505
20230505022	黄渊	男	2005/9/16	20230505
20230505023	杨翠	男	2005/7/20	20230505
20230505024	范亚平	女	2005/11/18	20230505
20230505025	刘建云	女	2004/11/12	20230505
20230505026	查文芳	女	2005/7/16	20230505
20230505027	曹亚洪	男	2005/4/20	20230505
20230505028	蒋雅茜	女	2005/12/13	20230505
20230505029	段红芬	女	2005/6/16	20230505
20230505030	何菊	女	2004/12/24	20230505
20230505031	敖明舒	女	2005/2/18	20230505
20230505032	吴文鲜	女	2005/11/17	20230505
20230505033	杨帆	男	2004/11/29	20230505
20230505034	张琳	男	2005/4/27	20230505
20230505035	李静	男	2005/8/1	20230505
20230505036	敖敏华	男	2004/12/24	20230505
20230505037	刘淑芳	女	2005/10/4	20230505
20230505038	刘琴	男	2005/8/18	20230505
20230505039	刘琳	女	2006/12/27	20230505
20230505040	张家榕	男	2004/7/21	20230505
20230505041	秦艳芬	男	2006/3/6	20230505
20230505042	张小鸥	女	2005/8/20	20230505
20230505043	徐勇	男	2005/3/11	20230505
20230505044	刘祖亮	男	2005/5/27	20230505
20230505045	王珊珊	女	2005/7/16	20230505
20230505046	唐承翔	女	2004/8/26	20230505
20230505047	赵华兵	男	2004/10/20	20230505
20230505048	彭伦江	女	2004/5/2	20230505
20230505049	李敏	男	2005/8/2	20230505
20230505050	自芬	男	2004/1/28	20230505
20230505051	章巧园	男	2004/7/21	20230505
20230505052	杜小结	女	2005/10/8	20230505
20230505053	赵长林	女	2005/12/8	20230505
20230505054	蒋伟昌	男	2005/11/20	20230505
20230505055	李晓波	男	2005/1/15	20230505
20231152001	刘刚连	男	2005/5/23	20231152
20231152002	张雷	男	2004/4/16	20231152
20231152003	王颖	女	2006/5/12	20231152
20231152004	王平	男	2005/12/18	20231152
20231152005	占奇锋	男	2005/12/3	20231152
20231152006	陈俊	女	2004/6/20	20231152
20231152007	黄首清	男	2004/4/26	20231152
20231152008	罗钧友	男	2005/4/29	20231152
20231152009	罗炼梅	女	2005/2/25	20231152
20231152010	陈继仲	男	2004/11/5	20231152
20231152011	许淑娟	女	2005/12/11	20231152
20231152012	吴文喜	男	2004/6/3	20231152
20231152013	黄廷贤	女	2005/7/14	20231152
20231152014	杨彭建	女	2005/7/15	20231152
20231152016	张天	男	2004/10/10	20231152
20231152017	周凯	男	2005/10/15	20231152
20231152018	陈涛	女	2005/11/23	20231152
20231152019	陈永务	女	2005/9/12	20231152
20231152020	寸文彪	男	2004/10/13	20231152
20231152021	伏红亮	男	2006/3/22	20231152
20231152022	胡安生	女	2005/5/10	20231152
20231152023	郎梅	女	2005/11/28	20231152
20231152024	李敏学	女	2006/10/3	20231152
20231152025	李勇	男	2005/1/30	20231152
20231152026	凌云霞	女	2006/3/20	20231152
20231152027	谭俊	女	2004/9/12	20231152
20231152028	唐晓	男	2005/12/30	20231152
20231152029	汪元帅	男	2005/1/26	20231152
20231152030	王丽丽	女	2005/6/13	20231152
20231152031	文俊杰	女	2005/11/17	20231152
20231152032	肖应萍	女	2005/12/28	20231152
20231152033	喻永	男	2004/9/17	20231152
20231152034	张明刚	男	2005/11/1	20231152
20231152035	郑立伟	男	2005/4/10	20231152
20231152036	周鸿昌	男	2005/3/21	20231152
20231152037	曹磊	男	2005/9/16	20231152
20231152038	孙旭	女	2005/7/20	20231152
20231152040	张广锋	男	2004/11/6	20231152
20231152041	段鸿	男	2005/7/10	20231152
20231152042	刘星炜	男	2005/4/20	20231152
20231152043	任雪莹	女	2005/12/7	20231152
20231152044	刘明涛	男	2005/6/11	20231152
20231152045	石毅	男	2004/12/24	20231152
20231152046	陈燕	女	2005/2/18	20231152
20231152047	范文艳	男	2005/11/11	20231152
20231152048	冯静	男	2004/11/23	20231152
20231152049	赵晨	男	2005/4/27	20231152
20231152050	夏伟	男	2005/8/1	20231152
20231152051	黄丽仁	男	2005/3/17	20231152
20231152052	赵锴锴	男	2005/10/4	20231152
